"","Q1","Q2","Q3","Q4"
"589",0,0,0,0
"590",3,1,0,0
"591",1,0,0,0
"592",0,0,0,0
"593",2,0,0,0
"594",0,0,0,0
"595",0,0,0,0
"596",0,0,0,0
"597",1,0,0,0
"598",0,3,0,0
"599",0,0,0,1
"600",0,0,1,0
"601",1,0,0,0
"602",1,0,1,0
"603",0,0,0,0
"604",1,0,0,0
"605",0,0,0,0
"606",2,0,0,0
"607",1,0,0,0
"608",0,1,0,0
"609",2,0,0,0
"610",0,0,0,0
"611",1,0,0,0
"612",1,0,0,0
"613",1,0,0,0
"614",1,0,0,0
"615",1,0,0,0
"616",1,0,0,0
"617",1,0,0,0
"618",1,0,0,0
"619",1,0,0,0
"620",1,0,0,0
"621",1,0,0,0
"622",1,0,0,0
"623",1,0,0,0
"624",1,0,0,0
"625",1,0,0,0
"626",1,1,0,1
"627",2,0,0,0
"628",0,0,0,0
"629",14,0,0,0
"630",6,2,0,0
"631",1,0,0,0
"632",6,1,0,0
"633",2,1,0,0
"634",0,0,0,0
"635",2,0,0,0
"636",1,0,0,0
"637",0,0,0,0
"638",3,1,0,0
"639",7,0,0,0
"640",4,0,0,0
"641",5,0,0,0
"642",5,0,0,0
"643",14,1,0,0
"644",11,0,0,0
"645",2,0,0,0
"646",3,1,0,0
"647",2,0,0,0
"648",14,0,0,0
"649",3,0,0,0
"650",2,0,0,0
"651",3,0,0,0
"652",4,0,0,0
"653",6,0,0,0
"654",6,0,0,0
"655",1,0,0,0
"656",1,0,0,0
"657",3,1,0,0
"658",0,0,0,0
"659",1,1,0,0
"660",2,0,0,0
"661",0,0,0,0
"662",0,2,1,0
"663",0,0,0,0
"664",2,0,0,0
"665",1,1,0,0
"666",2,0,0,0
"667",4,0,0,0
"668",2,0,0,0
"669",3,0,0,0
"670",0,0,0,0
"671",1,0,0,0
"672",4,0,0,0
"673",3,0,0,0
"674",3,0,0,0
"675",0,0,0,0
"676",10,1,0,0
"677",1,0,0,0
"678",3,0,0,0
"679",9,1,0,0
"680",1,0,0,0
"681",4,0,0,0
"682",8,0,0,0
"683",3,0,0,0
"684",2,0,0,0
"685",0,0,0,0
"686",3,0,0,0
"687",7,1,0,0
"688",0,0,0,0
"689",0,0,0,0
"690",5,0,0,0
"691",9,2,0,0
"692",3,0,0,0
"693",6,1,0,0
"694",9,0,0,0
"695",7,1,0,0
"696",2,0,0,0
"697",4,0,0,0
"698",2,0,0,0
"699",13,0,0,0
"700",10,0,0,0
"701",7,1,0,0
"702",3,0,0,0
"703",7,0,0,0
"704",0,0,0,0
"705",2,0,0,0
"706",6,0,0,0
"707",3,0,0,0
"708",4,0,0,0
"709",5,0,0,0
"710",5,0,0,0
"711",2,0,1,1
"712",7,1,0,0
"713",5,2,1,0
"714",0,3,1,2
"715",1,0,0,0
"716",0,0,0,0
"717",0,0,0,0
"718",2,0,0,0
"719",2,1,0,0
"720",0,0,0,2
"721",0,0,0,0
"722",0,0,0,0
"723",1,0,0,0
"724",0,0,0,0
"725",2,0,0,0
"726",6,3,0,0
"727",1,1,4,3
"728",0,0,0,0
"729",0,4,1,0
"730",3,3,2,0
"731",0,0,0,2
"732",1,0,4,0
"733",0,1,1,0
"734",0,0,0,0
"735",0,1,2,0
"736",0,0,0,0
"737",0,0,0,1
"738",1,1,0,0
"739",0,0,0,3
"740",0,0,0,1
"741",0,0,0,0
"742",0,0,1,0
"743",0,0,4,0
"744",1,0,0,0
"745",2,3,0,0
"746",0,1,1,0
"747",0,0,0,0
"748",0,0,0,0
"749",3,0,0,2
"750",1,0,0,0
"751",2,0,0,0
"752",0,0,0,0
"753",0,0,0,0
"754",1,0,0,0
"755",1,0,0,0
"756",2,0,0,0
"757",3,0,0,0
"758",0,1,0,0
"759",3,1,0,0
"760",0,0,0,0
"761",1,0,0,0
"762",0,0,0,0
"763",0,0,0,0
"764",1,0,0,0
"765",1,0,0,0
"766",1,0,0,0
"767",0,0,0,0
"768",2,0,0,0
"769",0,0,0,0
"770",5,0,0,0
"771",0,1,2,1
"772",0,0,0,2
"773",0,0,0,0
"774",1,0,0,0
"775",0,2,1,0
"776",1,1,1,0
"777",3,0,0,0
"778",1,0,0,2
"779",2,0,0,0
"780",1,0,1,1
"781",0,0,2,0
"782",0,2,1,1
"783",0,0,1,1
"784",0,0,0,0
"785",0,0,0,0
"786",0,0,0,0
"787",0,0,0,0
"788",0,0,0,0
"789",0,0,0,0
"790",0,1,2,1
"791",0,0,0,0
"792",0,0,0,0
"793",0,0,0,0
"794",0,0,0,0
"795",0,0,0,0
"796",0,0,0,0
"797",0,0,0,0
"798",0,0,0,0
"799",0,0,0,0
"800",1,0,0,0
"801",5,0,0,0
"802",0,0,0,0
"803",0,0,0,0
"804",1,0,0,0
"805",1,0,0,0
"806",2,0,0,0
"807",0,0,0,0
"808",0,0,0,0
"809",0,0,0,0
"810",2,0,0,0
"811",1,0,0,0
"812",0,0,0,0
"813",1,1,0,0
"814",0,0,0,0
"815",0,0,0,0
"816",0,0,0,0
"817",0,0,0,0
"818",0,0,0,0
"819",0,0,0,0
"820",1,0,0,0
"821",4,0,0,0
"822",2,0,0,0
"823",1,0,0,0
"824",3,0,0,0
"825",2,0,0,0
"826",0,0,0,0
"827",1,0,0,0
"828",1,0,0,0
"829",0,0,0,0
"830",3,0,0,0
"831",0,0,0,0
"832",0,0,0,0
"833",0,0,0,0
"834",1,0,0,0
"835",1,0,0,0
"836",4,0,0,0
"837",3,0,0,0
"838",1,0,0,0
"839",0,0,0,0
"840",1,0,0,0
"841",2,2,0,0
"842",0,0,0,0
"843",0,0,0,0
"844",1,0,0,0
"845",0,0,0,0
"846",0,0,0,0
"847",0,0,0,0
"848",0,0,0,0
"849",1,0,0,0
"850",0,0,0,0
"851",1,4,0,1
"852",0,0,0,0
"853",1,0,0,0
"854",4,0,0,0
"855",1,0,0,0
"856",0,0,0,0
"857",1,0,0,0
"858",3,0,0,0
"859",0,0,3,0
"860",1,0,0,0
"861",0,0,0,0
"862",0,0,0,0
"863",4,0,0,0
"864",0,0,0,0
"865",5,0,0,0
"866",0,0,0,0
"867",2,3,0,2
"868",2,0,0,0
"869",6,1,0,0
"870",4,0,0,0
"871",4,0,0,0
"872",5,0,0,0
"873",0,0,0,0
"874",0,0,0,0
"875",3,0,0,0
"876",0,0,0,0
"877",5,0,0,0
"878",6,0,0,0
"879",1,0,0,0
"880",1,0,0,0
"881",4,0,0,0
"882",3,0,0,0
"883",1,0,0,0
"884",5,1,0,0
"885",0,0,0,0
"886",0,0,0,0
"887",0,0,0,0
"888",0,0,0,0
"889",0,0,0,0
"890",0,0,0,0
"891",1,0,0,0
"892",0,0,0,0
"893",1,0,0,0
"894",0,0,0,0
"895",0,0,0,0
"896",1,0,0,0
"897",0,0,0,0
"898",1,0,0,0
"899",0,0,0,0
"900",0,0,0,0
"901",0,0,0,0
"902",0,0,0,0
"903",0,0,0,0
"904",0,0,0,0
"905",0,0,0,0
"906",3,0,0,0
"907",1,0,0,0
"908",0,0,0,0
